"match_id","session_date","start_time","duration_mins","attendance"
"2","2025-02-07","09:00:00","120","Present"
"64","2024-05-16","09:00:00","105","Absent"
"116","2024-07-10","19:00:00","75","Cancelled"
"38","2024-07-14","16:00:00","30","Absent"
"112","2024-03-21","12:30:00","120","Present"
"55","2025-03-14","09:00:00","120","Absent"
"6","2024-03-05","10:00:00","60","Present"
"57","2025-01-13","12:00:00","60","Absent"
"24","2024-04-28","15:30:00","75","Present"
"50","2025-02-17","16:30:00","105","Cancelled"
"22","2024-04-27","10:00:00","120","Present"
"54","2024-12-28","16:30:00","45","Present"
"100","2024-08-31","18:00:00","120","Present"
"108","2025-03-08","10:30:00","75","Present"
"53","2024-10-12","08:00:00","60","Present"
"2","2025-02-24","19:00:00","105","Cancelled"
"67","2024-11-23","18:00:00","75","Present"
"32","2024-11-02","14:30:00","45","Absent"
"72","2025-01-08","08:00:00","105","Cancelled"
"65","2024-10-27","16:00:00","30","Absent"
"42","2024-07-02","14:30:00","30","Present"
"71","2025-01-24","15:30:00","120","Present"
"59","2024-10-14","18:30:00","30","Cancelled"
"58","2024-08-09","09:30:00","105","Present"
"14","2024-09-23","15:00:00","90","Present"
"106","2024-04-16","18:30:00","90","Present"
"84","2025-02-07","16:30:00","60","Absent"
"105","2024-06-23","16:30:00","90","Absent"
"77","2024-10-29","19:30:00","105","Present"
"13","2025-03-24","19:00:00","30","Present"
"107","2025-01-19","12:30:00","105","Present"
"115","2024-05-24","16:00:00","120","Absent"
"93","2024-09-26","09:30:00","90","Present"
"16","2024-09-18","11:30:00","120","Absent"
"92","2024-08-21","09:30:00","30","Cancelled"
"108","2025-02-08","18:00:00","120","Cancelled"
"59","2025-02-01","18:00:00","75","Present"
"95","2024-03-25","17:30:00","120","Present"
"119","2024-11-16","10:00:00","105","Absent"
"14","2024-09-15","19:30:00","90","Cancelled"
"54","2025-01-06","11:30:00","75","Cancelled"
"38","2024-10-18","10:00:00","75","Present"
"114","2025-03-19","17:30:00","120","Absent"
"111","2024-08-08","17:00:00","45","Present"
"92","2024-07-27","19:30:00","105","Present"
"91","2025-01-27","10:30:00","105","Present"
"46","2024-12-13","16:30:00","105","Absent"
"108","2024-11-29","12:30:00","120","Present"
"14","2024-03-13","15:00:00","30","Present"
"26","2024-07-15","10:30:00","105","Present"
"108","2024-04-01","12:00:00","120","Present"
"46","2025-04-21","16:00:00","90","Cancelled"
"95","2024-12-13","11:30:00","45","Present"
"102","2025-04-13","12:00:00","75","Present"
"101","2025-02-14","14:00:00","30","Absent"
"26","2025-01-12","16:00:00","105","Absent"
"83","2024-09-05","18:00:00","120","Absent"
"25","2024-07-29","16:00:00","105","Present"
"23","2025-03-12","17:00:00","75","Present"
"36","2024-12-10","12:00:00","45","Present"
"33","2024-03-03","14:30:00","105","Cancelled"
"6","2024-05-18","14:00:00","120","Cancelled"
"79","2025-02-02","12:30:00","120","Present"
"46","2024-04-07","14:00:00","45","Present"
"101","2024-11-14","10:30:00","90","Present"
"12","2024-08-26","11:00:00","105","Present"
"47","2024-07-29","11:30:00","90","Absent"
"84","2024-03-05","09:30:00","75","Present"
"83","2025-01-09","18:00:00","30","Present"
"42","2024-09-12","09:30:00","60","Present"
"37","2024-03-13","17:30:00","90","Absent"
"58","2024-11-05","08:30:00","105","Present"
"66","2024-04-12","09:00:00","120","Present"
"1","2025-01-15","09:00:00","105","Present"
"28","2025-02-14","15:00:00","45","Present"
"90","2025-03-15","15:00:00","105","Present"
"4","2024-10-22","14:00:00","30","Present"
"23","2025-04-11","12:00:00","90","Absent"
"117","2024-07-11","15:30:00","75","Present"
"56","2024-08-09","08:30:00","105","Present"
"1","2025-01-23","18:00:00","120","Absent"
"6","2025-02-22","09:30:00","90","Present"
"101","2025-02-15","12:00:00","60","Absent"
"57","2024-09-12","15:00:00","75","Present"
"29","2024-05-09","15:30:00","105","Present"
"87","2025-04-12","19:30:00","30","Present"
"72","2024-05-12","09:00:00","30","Present"
"51","2024-12-01","17:00:00","60","Present"
"95","2025-03-07","14:00:00","75","Cancelled"
"109","2024-11-18","10:00:00","45","Present"
"107","2024-07-08","11:00:00","45","Present"
"73","2024-03-28","17:30:00","105","Present"
"38","2025-02-07","09:30:00","30","Present"
"75","2024-11-05","14:30:00","45","Present"
"31","2024-04-21","12:00:00","45","Present"
"58","2024-08-16","18:30:00","105","Present"
"73","2024-12-16","14:30:00","75","Present"
"41","2024-07-05","11:30:00","60","Absent"
"18","2025-02-11","14:30:00","75","Present"
"100","2024-08-04","16:00:00","45","Present"
"11","2024-07-22","10:00:00","60","Absent"
"81","2024-04-09","09:00:00","120","Present"
"4","2025-04-21","18:30:00","120","Present"
"117","2024-03-19","17:30:00","90","Cancelled"
"70","2024-10-28","19:00:00","60","Present"
"115","2025-03-31","18:30:00","45","Present"
"66","2024-04-16","15:30:00","90","Present"
"31","2025-04-17","18:00:00","120","Present"
"58","2024-05-21","10:00:00","105","Absent"
"46","2024-03-21","11:30:00","45","Present"
"48","2024-06-28","08:00:00","90","Cancelled"
"47","2024-09-15","16:30:00","30","Present"
"84","2024-08-13","09:30:00","120","Absent"
"75","2024-12-04","18:00:00","75","Present"
"47","2024-12-26","19:00:00","90","Present"
"117","2024-06-23","17:30:00","60","Absent"
"45","2024-11-05","16:00:00","90","Cancelled"
"57","2024-05-24","11:00:00","90","Present"
"28","2024-05-16","10:00:00","60","Present"
"105","2024-04-30","19:00:00","75","Absent"
"93","2024-04-28","16:30:00","75","Present"
"21","2025-01-26","15:00:00","45","Present"
"74","2024-12-29","10:00:00","105","Present"
"115","2024-12-19","10:00:00","45","Present"
"24","2024-11-20","15:00:00","105","Absent"
"106","2024-07-24","09:00:00","75","Present"
"61","2024-11-02","10:00:00","120","Present"
"19","2025-04-11","18:00:00","90","Present"
"34","2024-05-25","19:30:00","75","Present"
"9","2024-06-26","15:30:00","45","Present"
"26","2024-11-23","17:30:00","120","Present"
"13","2024-05-30","16:00:00","120","Present"
"97","2024-04-30","09:30:00","105","Present"
"78","2024-12-02","08:30:00","90","Present"
"112","2024-03-23","17:30:00","45","Cancelled"
"62","2025-04-09","15:30:00","90","Absent"
"117","2025-03-25","18:00:00","75","Present"
"62","2025-03-28","11:00:00","60","Present"
"70","2024-09-26","12:00:00","30","Absent"
