"session_id","amount","payment_date","status"
"125","2079.0","2024-06-25","Pending"
"180","1304.0","2024-09-04","Paid"
"33","718.0","2024-03-06","Paid"
"83","1464.0","2024-08-24","Paid"
"8","747.5","2025-02-16","Due"
"61","2433.75","2024-08-01","Paid"
"44","1281.0","2024-12-31","Paid"
"171","621.0","2024-09-08","Paid"
"69","1935.0","2024-09-19","Paid"
"133","2330.0","2025-04-29","Paid"
"147","469.0","2024-10-03","Pending"
"163","2187.0","2025-04-18","Pending"
"173","956.0","2025-01-27","Pending"
"139","1187.5","2024-06-05","Due"
"34","579.75","2024-07-27","Paid"
"114","1998.0","2024-10-18","Paid"
"130","2093.75","2024-06-05","Paid"
"188","355.5","2024-11-29","Paid"
"156","609.0","2024-07-16","Paid"
"116","648.5","2024-06-28","Paid"
"78","537.5","2024-06-20","Paid"
"29","1297.5","2024-09-07","Paid"
"98","464.0","2024-04-11","Pending"
"127","349.5","2024-07-15","Pending"
"128","819.0","2024-10-27","Paid"
"75","1140.0","2025-04-29","Paid"
"72","1479.75","2024-09-14","Pending"
"117","980.25","2025-03-13","Due"
"175","1008.75","2025-03-12","Pending"
"132","1100.25","2024-10-29","Paid"
"9","1039.0","2024-05-21","Pending"
"164","729.0","2024-11-22","Paid"
"111","1385.0","2024-06-10","Paid"
"123","379.5","2024-04-27","Paid"
"76","1289.0","2024-03-08","Paid"
"194","1447.5","2024-05-01","Paid"
"51","448.5","2024-03-22","Paid"
"86","2267.5","2025-02-16","Paid"
"193","580.0","2024-07-06","Paid"
"52","880.5","2024-08-21","Due"
"158","977.5","2024-03-31","Paid"
"12","1072.5","2025-04-10","Paid"
"196","1049.25","2024-08-10","Due"
"1","1720.0","2025-04-17","Due"
"84","1425.75","2024-03-11","Pending"
"176","849.75","2024-07-07","Due"
"47","1741.25","2024-12-12","Paid"
"155","2283.75","2024-06-06","Paid"
"149","1513.0","2024-08-13","Pending"
"22","1444.5","2024-12-09","Paid"
"162","1115.25","2024-10-17","Paid"
"30","1408.5","2024-09-04","Paid"
"90","2983.5","2024-09-11","Pending"
"118","657.0","2024-09-03","Pending"
"66","889.0","2025-03-05","Paid"
"77","1878.75","2024-06-06","Paid"
"101","2127.0","2024-05-18","Pending"
"5","1325.0","2025-01-23","Paid"
"25","895.5","2025-02-01","Paid"
"37","498.75","2024-03-17","Paid"
"181","1045.5","2024-04-20","Paid"
"151","2142.5","2025-01-31","Paid"
"120","2515.5","2024-07-10","Paid"
"85","1278.0","2025-03-03","Paid"
"179","1033.75","2025-05-01","Paid"
"153","854.0","2024-09-01","Paid"
"166","1251.0","2025-04-11","Pending"
"136","1663.0","2024-11-26","Paid"
"64","544.0","2024-04-09","Due"
"82","731.5","2024-04-21","Pending"
"45","1860.0","2024-06-06","Paid"
"15","1308.75","2024-12-17","Pending"
"74","1149.0","2025-03-19","Paid"
"183","964.0","2025-03-28","Pending"
"99","1416.25","2025-02-23","Pending"
"10","459.75","2025-04-10","Paid"
"21","1833.0","2024-08-20","Pending"
"184","2239.5","2024-10-13","Due"
"57","1567.5","2024-08-14","Pending"
"68","1555.0","2025-04-27","Pending"
"17","1234.5","2024-12-14","Paid"
"23","1752.0","2025-03-17","Paid"
"112","1657.5","2024-09-20","Paid"
"121","470.0","2024-12-31","Paid"
"38","676.0","2024-03-04","Paid"
"24","640.5","2024-08-09","Paid"
"195","1812.0","2024-12-09","Paid"
"100","2352.0","2024-05-19","Paid"
"154","1342.0","2024-05-19","Paid"
"14","1726.5","2024-07-06","Paid"
"141","507.5","2024-12-18","Paid"
"87","422.5","2025-03-06","Paid"
"103","1041.0","2024-11-05","Pending"
"131","2718.0","2025-04-24","Due"
"55","1619.0","2024-03-20","Pending"
"26","1975.0","2024-04-10","Pending"
"42","1978.0","2024-08-26","Due"
"115","1611.25","2024-05-01","Due"
"59","1296.0","2024-03-06","Pending"
"197","2117.5","2024-03-28","Paid"
"36","484.0","2024-12-02","Paid"
"174","1603.5","2025-02-21","Paid"
"89","628.75","2024-10-15","Pending"
"199","2367.0","2024-04-16","Paid"
"79","1241.25","2024-05-15","Paid"
"182","711.25","2024-12-18","Pending"
"169","1902.5","2024-07-13","Paid"
"170","1783.75","2025-04-01","Pending"
"144","1470.0","2024-11-02","Paid"
"95","1748.75","2025-01-28","Paid"
"46","2323.5","2025-03-12","Paid"
"124","448.0","2024-07-15","Pending"
"143","1593.0","2024-04-15","Paid"
"142","1558.75","2024-09-04","Paid"
"106","1056.0","2024-12-30","Pending"
"192","1976.0","2024-05-26","Due"
"102","2077.5","2025-01-14","Paid"
"71","368.25","2024-06-11","Pending"
"157","359.5","2024-04-27","Pending"
"94","1345.5","2024-05-15","Due"
"145","494.5","2024-08-23","Pending"
"109","627.0","2024-10-17","Paid"
"138","809.25","2025-03-14","Paid"
"67","1225.5","2024-11-23","Pending"
"65","1903.75","2025-01-13","Pending"
"150","344.5","2024-09-09","Paid"
"167","2637.0","2024-03-23","Paid"
"110","523.0","2024-06-11","Pending"
"40","1665.0","2024-03-28","Paid"
"28","208.5","2024-09-15","Pending"
"93","1757.0","2024-04-25","Paid"
"105","2161.25","2024-06-27","Due"
"81","720.5","2024-08-09","Paid"
"177","2433.0","2024-04-15","Paid"
"53","1781.25","2024-12-13","Due"
"168","222.0","2024-07-05","Due"
"97","1024.0","2024-11-06","Paid"
"200","360.5","2024-08-25","Pending"
"198","1127.0","2024-06-29","Due"
"31","1426.0","2025-04-20","Paid"
"134","1158.75","2025-04-22","Due"
"148","1536.0","2024-06-24","Paid"
"2","903.0","2024-04-14","Pending"
